label	case	completion_tokens	decode_tps	draft_acceptance	mean_draft_len
armA-newtree-mtp2-ngram-cold	1	384	53.21	0.64179	2.28
armA-newtree-mtp2-ngram-cold	2	384	55.03	0.68210	2.36
armA-newtree-mtp2-ngram-cold	3	384	52.98	0.64371	2.29
armA-newtree-mtp2-ngram-cold	4	384	58.90	0.77926	2.55
armA-newtree-mtp2-ngram-cold	5	384	44.23	0.45750	1.92
armA-newtree-mtp2-ngram-cold	6	384	43.88	0.45614	1.91
armB-dflash2-q4km-cold	1	384	49.34	0.25523	2.77
armB-dflash2-q4km-cold	2	384	54.56	0.28829	3.02
armB-dflash2-q4km-cold	3	384	66.24	0.38483	3.68
armB-dflash2-q4km-cold	4	384	68.26	0.40401	3.79
armB-dflash2-q4km-cold	5	384	39.99	0.17402	2.21
armB-dflash2-q4km-cold	6	384	38.43	0.16251	2.12
armB2-dflash2-q8-cold	1	384	48.49	0.25234	2.75
armB2-dflash2-q8-cold	2	384	54.59	0.29519	3.06
armB2-dflash2-q8-cold	3	384	65.34	0.38483	3.68
armB2-dflash2-q8-cold	4	384	69.33	0.41850	3.91
armB2-dflash2-q8-cold	5	384	39.15	0.17219	2.20
armB2-dflash2-q8-cold	6	384	39.57	0.17692	2.22
armB3-dflash2-ngram-cold	1	384	49.42	0.25523	2.77
armB3-dflash2-ngram-cold	2	384	54.41	0.28829	3.02
armB3-dflash2-ngram-cold	3	384	66.15	0.38483	3.68
armB3-dflash2-ngram-cold	4	384	68.14	0.40401	3.79
armB3-dflash2-ngram-cold	5	384	39.96	0.17402	2.21
armB3-dflash2-ngram-cold	6	384	38.38	0.16251	2.12
prod-dflash2-cold-verify	1	384	50.48	0.25523	2.77
prod-dflash2-cold-verify	2	384	54.77	0.28829	3.02
prod-dflash2-cold-verify	3	384	66.51	0.38483	3.68
prod-dflash2-cold-verify	4	384	68.54	0.40401	3.79
prod-dflash2-cold-verify	5	384	40.15	0.17402	2.21
prod-dflash2-cold-verify	6	384	38.58	0.16251	2.12
